churn_status,transaction_count,transaction_change_ratio,contact_count_12_monts,churn_risk_segment
Attrited Customer,10,0.25,2,High Risk
Attrited Customer,10,0.25,4,High Risk
Attrited Customer,10,0.429,4,High Risk
Attrited Customer,10,1,3,High Risk
Attrited Customer,11,0.833,3,High Risk
Existing Customer,11,0.833,3,High Risk
Attrited Customer,12,0.091,3,High Risk
Attrited Customer,12,0.2,4,High Risk
Attrited Customer,12,0.714,3,High Risk
Attrited Customer,12,0.714,3,High Risk
Existing Customer,13,0.182,3,High Risk
Attrited Customer,13,0.182,3,High Risk
Attrited Customer,13,0.182,4,High Risk
Attrited Customer,13,0.625,4,High Risk
Existing Customer,13,0.625,2,High Risk
Attrited Customer,14,0.273,1,High Risk
Attrited Customer,14,0.273,2,High Risk
Attrited Customer,14,0.273,3,High Risk
Attrited Customer,14,0.4,3,High Risk
Attrited Customer,14,0.4,3,High Risk
Attrited Customer,14,0.556,3,High Risk
Attrited Customer,14,0.556,1,High Risk
Existing Customer,14,1.8,1,High Risk
Attrited Customer,14,2.5,5,High Risk
Attrited Customer,15,0.154,3,High Risk
Attrited Customer,15,0.25,4,High Risk
Attrited Customer,15,0.364,3,High Risk
Attrited Customer,15,0.364,3,High Risk
Attrited Customer,15,0.364,3,High Risk
Attrited Customer,15,0.364,3,High Risk
Attrited Customer,15,0.364,3,High Risk
Attrited Customer,15,0.5,2,High Risk
Attrited Customer,15,0.5,3,High Risk
Attrited Customer,15,0.5,4,High Risk
Existing Customer,15,0.875,3,High Risk
Attrited Customer,15,0.875,3,High Risk
Attrited Customer,15,1.5,3,High Risk
Existing Customer,15,1.5,3,High Risk
Existing Customer,15,2,2,High Risk
Existing Customer,15,2.75,3,High Risk
Attrited Customer,16,0.143,3,High Risk
Attrited Customer,16,0.231,1,High Risk
Attrited Customer,16,0.231,3,High Risk
Attrited Customer,16,0.231,2,High Risk
Attrited Customer,16,0.333,2,High Risk
Existing Customer,16,0.333,0,High Risk
Attrited Customer,16,0.455,3,High Risk
Attrited Customer,16,0.455,2,High Risk
Attrited Customer,16,0.6,3,High Risk
Existing Customer,16,0.778,2,High Risk
Existing Customer,16,1.286,2,High Risk
Existing Customer,16,1.286,0,High Risk
Existing Customer,16,2.2,2,High Risk
Attrited Customer,17,0.133,3,High Risk
Attrited Customer,17,0.133,3,High Risk
Attrited Customer,17,0.133,3,High Risk
Attrited Customer,17,0.214,3,High Risk
Attrited Customer,17,0.214,3,High Risk
Attrited Customer,17,0.308,3,High Risk
Attrited Customer,17,0.545,3,High Risk
Attrited Customer,17,0.7,3,High Risk
Attrited Customer,17,0.7,3,High Risk
Attrited Customer,17,0.7,3,High Risk
Existing Customer,17,1.125,2,High Risk
Existing Customer,17,2.4,2,High Risk
Existing Customer,17,3.25,0,High Risk
Attrited Customer,18,0.059,3,High Risk
Attrited Customer,18,0.059,2,High Risk
Attrited Customer,18,0.2,5,High Risk
Attrited Customer,18,0.286,4,High Risk
Attrited Customer,18,0.286,2,High Risk
Attrited Customer,18,0.385,4,High Risk
Attrited Customer,18,0.385,3,High Risk
Attrited Customer,18,0.385,3,High Risk
Attrited Customer,18,0.5,3,High Risk
Attrited Customer,18,0.5,3,High Risk
Attrited Customer,18,0.5,1,High Risk
Existing Customer,18,0.636,3,High Risk
Attrited Customer,18,0.8,3,High Risk
Existing Customer,18,0.8,3,High Risk
Existing Customer,18,0.8,1,High Risk
Existing Customer,18,0.8,2,High Risk
Attrited Customer,18,1,2,High Risk
Attrited Customer,18,1,4,High Risk
Attrited Customer,18,1.25,3,High Risk
Existing Customer,18,1.571,2,High Risk
Existing Customer,18,1.571,1,High Risk
Existing Customer,18,1.571,2,High Risk
Existing Customer,18,3.5,3,High Risk
Attrited Customer,19,0.188,4,High Risk
Attrited Customer,19,0.462,2,High Risk
Existing Customer,19,0.462,3,High Risk
Attrited Customer,19,0.583,2,High Risk
Existing Customer,19,0.727,3,High Risk
Attrited Customer,19,0.727,3,High Risk
Attrited Customer,19,0.727,2,High Risk
Existing Customer,19,0.727,0,High Risk
Existing Customer,19,0.727,2,High Risk
Attrited Customer,19,0.9,1,High Risk
Attrited Customer,19,1.111,3,High Risk
Attrited Customer,20,0.053,4,High Risk
Attrited Customer,20,0.176,4,High Risk
Attrited Customer,20,0.25,1,High Risk
Attrited Customer,20,0.333,2,High Risk
Existing Customer,20,0.333,4,High Risk
Attrited Customer,20,0.429,3,High Risk
Attrited Customer,20,0.429,3,High Risk
Existing Customer,20,0.538,1,High Risk
Existing Customer,20,0.538,3,High Risk
Existing Customer,20,0.538,2,High Risk
Attrited Customer,20,0.667,3,High Risk
Existing Customer,20,0.667,3,High Risk
Existing Customer,20,0.818,3,High Risk
Attrited Customer,20,0.818,2,High Risk
Attrited Customer,20,0.818,3,High Risk
Existing Customer,20,1.222,2,High Risk
Existing Customer,20,1.857,3,High Risk
Existing Customer,20,2.333,0,High Risk
Existing Customer,20,2.333,1,High Risk
Attrited Customer,21,0.167,3,High Risk
Attrited Customer,21,0.235,2,High Risk
Existing Customer,21,0.4,3,High Risk
Existing Customer,21,0.4,3,High Risk
Attrited Customer,21,0.4,3,High Risk
Existing Customer,21,0.4,3,High Risk
Existing Customer,21,0.4,4,High Risk
Attrited Customer,21,0.4,3,High Risk
Attrited Customer,21,0.4,5,High Risk
Existing Customer,21,0.5,3,High Risk
Attrited Customer,21,0.5,2,High Risk
Existing Customer,21,0.615,2,High Risk
Attrited Customer,21,0.615,3,High Risk
Attrited Customer,21,0.615,2,High Risk
Attrited Customer,21,0.615,1,High Risk
Existing Customer,21,0.615,2,High Risk
Existing Customer,21,0.615,3,High Risk
Existing Customer,21,0.75,3,High Risk
Attrited Customer,21,0.75,3,High Risk
Attrited Customer,21,0.75,3,High Risk
Existing Customer,21,0.75,3,High Risk
Existing Customer,21,0.909,2,High Risk
Existing Customer,21,0.909,0,High Risk
Existing Customer,21,0.909,1,High Risk
Existing Customer,21,1.1,3,High Risk
Existing Customer,21,1.1,2,High Risk
Existing Customer,21,1.333,2,High Risk
Existing Customer,21,1.333,2,High Risk
Existing Customer,21,1.333,4,High Risk
Existing Customer,21,1.625,3,High Risk
Existing Customer,21,1.625,3,High Risk
Existing Customer,21,1.625,1,High Risk
Existing Customer,21,2,0,High Risk
Attrited Customer,22,0,4,High Risk
Attrited Customer,22,0,4,High Risk
Attrited Customer,22,0.375,3,High Risk
Attrited Customer,22,0.375,2,High Risk
Existing Customer,22,0.375,3,High Risk
Attrited Customer,22,0.375,3,High Risk
Attrited Customer,22,0.467,2,High Risk
Existing Customer,22,0.467,0,High Risk
Existing Customer,22,0.571,3,High Risk
Existing Customer,22,0.571,2,High Risk
Existing Customer,22,0.571,3,High Risk
Existing Customer,22,0.571,2,High Risk
Attrited Customer,22,0.692,3,High Risk
Attrited Customer,22,0.692,3,High Risk
Attrited Customer,22,0.692,3,High Risk
Existing Customer,22,0.692,3,High Risk
Existing Customer,22,0.833,3,High Risk
Existing Customer,22,0.833,2,High Risk
Attrited Customer,22,0.833,3,High Risk
Existing Customer,22,0.833,4,High Risk
Existing Customer,22,1,2,High Risk
Existing Customer,22,1,3,High Risk
Existing Customer,22,1,0,High Risk
Existing Customer,22,1,0,High Risk
Existing Customer,22,1,3,High Risk
Existing Customer,22,1,3,High Risk
Existing Customer,22,1.2,3,High Risk
Existing Customer,22,1.2,3,High Risk
Existing Customer,22,1.444,2,High Risk
Existing Customer,22,1.444,3,High Risk
Existing Customer,22,1.444,2,High Risk
Existing Customer,22,1.444,2,High Risk
Existing Customer,22,1.444,0,High Risk
Attrited Customer,22,1.444,3,High Risk
Existing Customer,22,1.75,2,High Risk
Attrited Customer,23,0,3,High Risk
Attrited Customer,23,0.15,4,High Risk
Existing Customer,23,0.211,2,High Risk
Attrited Customer,23,0.211,4,High Risk
Existing Customer,23,0.278,2,High Risk
Existing Customer,23,0.278,2,High Risk
Attrited Customer,23,0.353,1,High Risk
Existing Customer,23,0.353,2,High Risk
Attrited Customer,23,0.353,2,High Risk
Existing Customer,23,0.353,2,High Risk
Existing Customer,23,0.438,2,High Risk
Existing Customer,23,0.533,0,High Risk
Existing Customer,23,0.533,3,High Risk
Existing Customer,23,0.533,2,High Risk
Attrited Customer,23,0.533,4,High Risk
Existing Customer,23,0.643,2,High Risk
Attrited Customer,23,0.643,3,High Risk
Existing Customer,23,0.643,3,High Risk
Existing Customer,23,0.769,3,High Risk
Existing Customer,23,0.769,4,High Risk
Attrited Customer,23,0.769,4,High Risk
Existing Customer,23,0.917,3,High Risk
Existing Customer,23,0.917,2,High Risk
